,Performance,Potential,New Brand,Age,next_year,next_price,predicted
0,0.04805700289422758,0.367885116225921,Laphroaig,10.0,2018.0,52.3,50.639259296369744
1,0.04842085432308792,0.358092939742843,Talisker,0.0,2018.0,58.4,49.81948918598096
2,0.06338835145567746,0.358092939742843,Cardhu,0.0,2018.0,53.7,55.554356257015144
3,0.048602897002516604,0.358092939742843,Laphroaig,0.0,2018.0,41.6,49.889239696208875
4,0.06135999515049968,0.358092939742843,Dalwhinnie,0.0,2018.0,53.7,54.7771819784431
5,0.09748110914354056,0.38523267626269236,Lagavulin,16.0,2018.0,73.8,71.27559905538821
6,0.055118368889048336,0.358092939742843,The Macallan,0.0,2018.0,53.7,52.38567345767503
7,0.05899511997181915,0.39952745921429855,Glenfiddich,15.0,2018.0,52.3,57.92974009836632
8,0.04973154171728346,0.358092939742843,Other,0.0,2018.0,59.0,50.32168523506936
9,0.06011811963941552,0.3528187474497564,Balblair,0.0,2018.0,53.7,53.78472401528596
10,0.07318959431009636,0.367885116225921,Ardbeg,10.0,2018.0,53.3,60.26893015460497
11,0.09519755949282846,0.3730009754871282,Oban,14.0,2018.0,64.7,69.20250391393952
12,0.08187201645281594,0.40476667661908006,Bunnahabhain,12.0,2018.0,59.0,67.20833239174421
13,0.06464183892776078,0.37278120446746005,Dalwhinnie,15.0,2018.0,52.7,57.47340814110895
14,0.06687997114057304,0.358092939742843,Talisker,0.0,2018.0,47.0,56.89218679652083
15,0.05485568542678537,0.358092939742843,Johnnie Walker,0.0,2018.0,55.7,52.2850250524784
16,0.24671070047157634,0.5599654430579568,Rare Malts,0.0,2018.0,161.2,145.56936963221722
17,0.12950790631150003,0.3737604221157678,Scapa,16.0,2018.0,80.5,82.42306574170492
18,0.0704652973687476,0.3698435515225367,Dalmore,12.0,2018.0,56.1,59.416939239962005
19,0.07257301661262305,0.358092939742843,Bruichladdich,0.0,2018.0,56.1,59.07350400253138
20,0.07215991306022748,0.39107234256244444,Highland Park,0.0,2018.0,53.7,62.14568129405387
21,0.016143846302392295,0.358092939742843,The Glenlivet,0.0,2018.0,60.5,37.4524014299726
22,0.058027593543745565,0.358092939742843,Johnnie Walker,0.0,2018.0,57.6,53.50035659709888
23,0.07414794233498943,0.32922943610734834,Balvenie,14.0,2018.0,69.8,56.84965256671322
24,0.06559713194553986,0.358092939742843,Haig,0.0,2018.0,53.7,56.400660913369514
25,0.021489350922138273,0.358092939742843,Glenkinchie,0.0,2018.0,52.1,39.50055672063168
26,0.3157322946378036,0.5599654430579568,Johnnie Walker,0.0,2018.0,181.0,172.01531875924417
27,0.03247272963900136,0.37739893507622996,Lagavulin,8.0,2018.0,68.5,45.59998684374616
28,0.8065908051658084,0.9631037265871674,The Macallan,21.0,2018.0,502.5,399.5790223110505
29,0.08270706409404982,0.3848391944896815,Glenfiddich,0.0,2018.0,60.3,65.57631099800074
30,0.106152663992571,0.37278120446746005,Dalmore,15.0,2018.0,83.0,73.37847641712426
31,0.09014881952244794,0.34085518034661383,Caol Ila,12.0,2018.0,56.5,64.11925062472163
32,0.007950246215320478,0.358092939742843,Glenallachie,0.0,2018.0,52.3,34.31298493780359
33,0.06885357128779271,0.358092939742843,Bowmore,0.0,2018.0,50.3,57.64838099540259
34,0.09487474567761525,0.358092939742843,Aberlour,0.0,2018.0,64.0,67.61851660729822
35,0.0714649866830092,0.42709650624767487,Auchentoshan,0.0,2018.0,61.7,65.40812292792096
36,0.035149643166168545,0.358092939742843,Jura,0.0,2018.0,73.7,44.73456207801708
37,0.08116775842482295,0.358092939742843,Laphroaig,0.0,2018.0,55.7,62.36661983736592
38,0.06318245046167269,0.38863157130398207,GlenDronach,12.0,2018.0,53.0,58.46684121246947
39,0.062473190360736605,0.3443645159360563,Cragganmore,12.0,2018.0,51.5,53.85895583760655
40,0.0813787149840055,0.3718019868191522,Clynelish,14.0,2018.0,60.4,63.790302937471836
41,0.043040447597269826,0.43884711802736853,Auchentoshan,12.0,2018.0,48.3,55.66814460543549
42,0.092744010301234,0.3757188574123834,Chivas,18.0,2018.0,77.9,68.52864200842883
43,0.028527019569607764,0.359291928410819,Oban,0.0,2018.0,70.1,42.31451820321589
44,0.07894094820304615,0.3263143661219039,Ledaig,0.0,2018.0,50.3,58.4005730021412
45,0.5956097703619825,0.9425401559727036,Rare Malts,0.0,2018.0,309.0,316.7263632569043
46,0.08645154999201955,0.358092939742843,Talisker,0.0,2018.0,66.8,64.39112947977463
47,0.0705316027822687,0.37688095952428846,GlenDronach,0.0,2018.0,53.0,60.131685761467494
48,0.06041693411052236,0.3295636458276429,Edradour,0.0,2018.0,53.7,51.62128918875283
49,0.18350367294254372,0.5963793805089427,GlenDronach,18.0,2018.0,107.4,124.91818491629526
50,0.06508789278798223,0.3397759858390283,Glenturret,0.0,2018.0,61.2,54.41132715912305
51,0.08389710769617634,0.3698435515225367,The Macallan,12.0,2018.0,67.0,64.5634006750728
52,0.08716272907693082,0.358092939742843,The Glenlivet,0.0,2018.0,60.4,64.66362109763801
53,0.06336531726719118,0.358092939742843,Glenglassaugh,0.0,2018.0,57.6,55.545530598375514
54,0.018693001188111555,0.3698435515225367,Jura,12.0,2018.0,57.6,39.58013994052506
55,0.07369105463139461,0.37278120446746005,The Glenlivet,15.0,2018.0,73.2,60.94065778978221
56,0.21407069952835622,0.5775913607274973,The Glenlivet,18.0,2018.0,120.9,134.78972613289426
57,0.5813489527122634,0.9425401559727036,Other,0.0,2018.0,309.0,311.2622637590622
58,0.05768396448403047,0.3698435515225367,Knockando,12.0,2018.0,44.1,54.51971130321445
59,0.10309739934252322,0.37278120446746005,Bowmore,15.0,2018.0,71.1,72.20783736723621
60,0.006656501014030966,0.311183576748017,Remarkable Regional Malts,0.0,2018.0,49.7,29.222327107243586
61,0.22871368154801108,0.5775913607274973,Dalmore,18.0,2018.0,143.5,140.4002537101456
62,0.16922269878383786,0.646594927232329,Auchentoshan,18.0,2018.0,106.9,124.36516908256084
63,0.3923328202318247,0.5599654430579568,Jura,0.0,2018.0,201.5,201.36517117929964
64,0.14758901498342566,0.402465112159222,Glenfiddich,18.0,2018.0,90.0,92.16266299063948
65,1.0,1.0,Highland Park,25.0,2018.0,483.7,477.2987993715899
66,0.12159495108076304,0.4139083456963877,Talisker,57.0,2018.0,95.7,83.32382380418156
67,0.20704038559173685,0.5320811570707699,Balvenie,15.0,2018.0,117.6,127.6381280120653
68,0.24164584997421867,0.5787534628394022,GlenDronach,0.0,2018.0,147.7,145.469107384906
69,0.24164948562427996,0.5993170334538661,GlenDronach,21.0,2018.0,147.7,147.4847815536624
70,0.11881579417503856,0.358092939742843,Talisker,0.0,2018.0,83.1,76.79164218053255
71,0.059055374321789936,0.367885116225921,BenRiach,10.0,2018.0,47.0,54.853337146148185
72,0.060779048664000634,0.367885116225921,BenRiach,10.0,2018.0,47.8,55.513771094541994
73,0.11822808030311252,0.5599654430579568,That Boutique-y Whisky Company,0.0,2018.0,90.0,96.34064813877015
74,0.18899270409938307,0.5340395923673855,Balvenie,17.0,2018.0,120.9,120.91491008453175
75,0.1517139531724269,0.3757188574123834,Jura,18.0,2018.0,99.1,91.12325356019761
76,0.2741056543389121,0.5805290136724206,Royal Salute by Chivas,21.0,2018.0,150.5,158.08015648256227
77,0.11038453568144324,0.358092939742843,Jura,0.0,2018.0,70.6,73.5611657490945
78,0.07400550561500244,0.3698435515225367,Jura,12.0,2018.0,62.2,60.77338671562805
79,0.05644852468609793,0.358092939742843,Fettercairn,0.0,2018.0,62.1,52.895328920129984
80,0.07225657954662337,0.3517451162613623,Glen Elgin 12yr,12.0,2018.0,53.7,58.33046581950927
81,0.16352140026237585,0.358092939742843,Dalmore,0.0,2018.0,105.1,93.92080586257762
82,0.08301539462835943,0.358092939742843,Other,0.0,2018.0,67.2,63.07455035756445
83,0.20261823794055955,0.5867116978047954,Glenfiddich,0.0,2018.0,115.5,131.29503373417583
84,0.8386470072154656,0.9425401559727036,Other,0.0,2018.0,470.2,409.8472260656853
85,0.4037779314258752,0.5599654430579568,Dalmore,0.0,2018.0,235.1,205.75041947730276
86,0.202754411265553,0.3831516018622474,Glenmorangie,18.0,2018.0,107.4,111.40771168740311
87,0.09859265841405812,0.3737604221157678,Jura,16.0,2018.0,69.8,70.57774279738965
88,0.09594086806272284,0.358092939742843,Laphroaig,0.0,2018.0,64.5,68.02700642493699
89,0.06207861168329454,0.358092939742843,Royal Lochnagar,0.0,2018.0,50.8,55.05252328934523
90,0.07848866534783955,0.358092939742843,Bowmore,0.0,2018.0,54.3,61.34011269744978
91,0.3232504219417582,0.5920012678193451,Lagavulin,21.0,2018.0,174.7,178.03395742125974
92,0.07245580515010214,0.3930160648393864,Bunnahabhain,0.0,2018.0,51.5,62.44944884840567
93,0.11623059941227133,0.358092939742843,BenRiach,0.0,2018.0,75.2,75.80111262185125
94,0.2763918749701225,0.6105707635470987,Highland Park,18.0,2018.0,147.8,161.89883810708363
95,0.10865840864364096,0.358092939742843,Tobermory,0.0,2018.0,67.1,72.89979204290088
96,0.19072331442078305,0.5599654430579568,Other,0.0,2018.0,123.6,124.11753878197645
97,0.08393500915728141,0.3698435515225367,Aultmore,12.0,2018.0,60.4,64.57792279850563
98,0.09406234079831557,0.3448363261919531,Mortlach,0.0,2018.0,49.6,66.00870335228134
99,0.16124784084838262,0.3737604221157678,Bowmore,16.0,2018.0,92.7,94.58437126016563
100,0.012004060922435403,0.311183576748017,Remarkable Regional Malts,0.0,2018.0,54.6,31.2712698907454
101,0.09978924131383206,0.358092939742843,Wolfburn,0.0,2018.0,65.5,69.5015287733311
102,0.022971559802607858,0.3900653893015,Tomatin,0.0,2018.0,64.4,43.200296945140686
103,0.11100007238496311,0.4037744363778092,Tomatin,14.0,2018.0,72.3,78.27169054645569
104,0.07222268463722153,0.37688095952428846,GlenDronach,0.0,2018.0,54.3,60.77963174474317
105,0.13993728716844,0.3930160648393864,Bunnahabhain,0.0,2018.0,73.8,88.30529674347277
106,0.39568961358292043,0.5775913607274973,Laphroaig,18.0,2018.0,178.9,204.37786907641117
107,0.3893958778920595,0.5599654430579568,Dalmore,0.0,2018.0,201.5,200.23986787904693
108,0.11619390248602493,0.3737604221157678,Aberfeldy,16.0,2018.0,76.9,77.32174242312739
109,0.07354321333861824,0.358092939742843,Fettercairn,0.0,2018.0,56.1,59.44523944951639
110,0.07677650373868558,0.3698435515225367,Royal Brackla,12.0,2018.0,62.2,61.83510770704281
111,0.10143098661936363,0.358092939742843,Cardhu,0.0,2018.0,71.3,70.13057122538963
112,0.07794825969543433,0.3848391944896815,Glenfiddich,0.0,2018.0,57.6,63.7529526629848
113,0.0932493455917705,0.358092939742843,The Macallan,0.0,2018.0,80.5,66.99573690323128
114,0.14335730915015044,0.4076913069710404,Tomatin,18.0,2018.0,87.3,91.05319092248735
115,0.101558702938572,0.3900653893015,Tomatin,0.0,2018.0,67.9,73.31133124162862
116,0.20912864580928966,0.3757188574123834,Bowmore,18.0,2018.0,107.4,113.12196365724205
117,0.8270646560242463,0.9670205971803987,Bowmore,25.0,2018.0,400.4,407.807347368023
118,0.1162679252643275,0.3930160648393864,Bunnahabhain,0.0,2018.0,71.8,79.23626916937089
119,0.048745603535894064,0.3757188574123834,Johnnie Walker,18.0,2018.0,102.1,51.6704450790202
120,0.2162630375496793,0.5599654430579568,Other,0.0,2018.0,134.4,133.90320407846028
121,0.09983731415043234,0.358092939742843,Wolfburn,0.0,2018.0,61.7,69.51994810725552
122,0.3258554953369246,0.5805290136724206,Aberfeldy,21.0,2018.0,177.3,177.90835197113302
123,0.06384351775113083,0.3985482415659908,Glenfiddich,14.0,2018.0,53.0,59.691508408727344
124,0.21605496680726544,0.5599654430579568,Jura,0.0,2018.0,117.9,133.82348079113547
125,0.23513496215199284,0.41064198250892686,Bunnahabhain,18.0,2018.0,141.1,126.50726130956637
126,0.3446418263611332,0.6072752684192592,Glenfiddich,21.0,2018.0,181.0,187.72632218807843
127,0.3474366785820098,0.5379564629606167,Balvenie,21.0,2018.0,182.7,182.00713830025933
128,0.20438616136214227,0.5599654430579568,Jura,0.0,2018.0,164.5,129.35252298639247
129,0.09851093332575449,0.358092939742843,Talisker,0.0,2018.0,80.3,69.01173904351919
130,0.14451265279781972,0.39107234256244444,Highland Park,0.0,2018.0,113.9,89.8679745439709
131,0.10009159301433819,0.32727100081073274,Balvenie,12.0,2018.0,67.9,66.59824830418566
132,0.5739212023910608,0.9425401559727036,Dewar's,0.0,2018.0,335.8,308.41628621791386
133,0.12929507603721208,0.3757188574123834,Johnnie Walker,18.0,2018.0,102.1,82.53335512090364
134,0.08973576145823986,0.358092939742843,Craigellachie,0.0,2018.0,64.4,65.64949058193316
135,0.12729128862551917,0.5599654430579568,Darkness!,0.0,2018.0,80.5,99.8132591270304
136,0.07414740981896706,0.358092939742843,Cardhu,0.0,2018.0,53.2,59.6767401788922
137,0.09859094966061796,0.367885116225921,The Macallan,10.0,2018.0,94.0,70.0015791798235
138,0.08722973897275396,0.40086451904552245,Highland Park,10.0,2018.0,60.4,68.87893762242257
139,0.2265943795923824,0.5599654430579568,Royal Lochnagar,0.0,2018.0,157.421875,137.8617064749598
140,0.033500512667019824,0.37278120446746005,The Singleton,15.0,2018.0,45.390625,45.541462205996694
141,0.01587967260315265,0.3757188574123834,Johnnie Walker,18.0,2018.0,43.26171875,39.07770873550457
142,0.013874188706376328,0.3698435515225367,Dalwhinnie,12.0,2018.0,36.71875,37.733789225850245
143,0.0251017395230536,0.358092939742843,Glen Garioch,0.0,2018.0,40.625,40.884660438405156
144,0.0,0.358092939742843,BenRiach,0.0,2018.0,26.904296875,31.266810628606997
145,0.12029368087044977,0.5599654430579568,Talisker,0.0,2018.0,96.5625,97.13209273449498
146,0.07188874836490165,0.3757188574123834,The Singleton,18.0,2018.0,68.5,60.537850099046736
147,0.016836251456387133,0.358092939742843,The Singleton,0.0,2018.0,36.71875,37.71769972824917
148,0.2868674188413919,0.0,,,,,
